header,inverter,temp,freq,power,error,run_time
9,4,60.000000,75912.67916341191,5.294805e-04,-13.602105865207818,17.3667
9,4,80.000000,194106.0475097844,6.544520e-04,-20.0,14.5333
9,4,100.000000,440683.74727492186,7.872331e-04,-26.18003679673518,12.8833
7,6,0.000000,1129.857454923772,2.163255e-04,7.460688862727778,152.2333
7,6,20.000000,5171.558702621412,3.084809e-04,0.0,64.1167
7,6,40.000000,18710.624659817455,4.135823e-04,-7.060917742724257,33.0
7,6,60.000000,55977.21951074791,5.294721e-04,-13.722731578451516,19.9333
7,6,80.000000,143430.31086942146,6.544348e-04,-20.0,15.8
7,6,100.000000,324242.22969708644,7.871900e-04,-25.951323292474655,13.5333
5,2,0.000000,2014.7706868595044,2.163481e-04,7.768730769946771,103.5333
5,2,20.000000,9017.018721134269,3.085162e-04,0.0,42.9833
5,2,40.000000,31537.81210213079,4.136405e-04,-7.159096753957385,23.5833
5,2,60.000000,90915.12436734438,5.295614e-04,-13.80092331819776,16.25
5,2,80.000000,224679.21425185192,6.546531e-04,-20.0,12.8667
5,2,100.000000,514159.96544845036,7.875504e-04,-26.64600981277627,11.5
