header,inverter,temp,freq,power,error,run_time
7,2,40.000000,8940.08178386816,3.912267e-04,2.642955535448074,29.1833
7,2,60.000000,47451.431087710174,4.886734e-04,-1.5927317312973983,13.7167
7,2,80.000000,126117.14567640156,5.977877e-04,0.0,12.9333
7,2,100.000000,292128.2536514571,7.141191e-04,1.9938903308090516,9.4333
7,8,-20.000000,failed,failed,failed,1.9167
7,8,0.000000,451.0064886303519,2.209275e-04,0.0,299.7833
7,8,20.000000,2065.606982743093,2.991184e-04,-0.6814894125509312,99.95
7,8,40.000000,7451.831362075543,3.862240e-04,-0.858270555594288,42.0667
7,8,60.000000,22261.99203421401,4.801039e-04,-0.6159905523714713,21.9167
7,8,80.000000,57069.026128482925,5.825455e-04,1.4210854715202004e-14,15.4
7,8,100.000000,129435.91440195884,6.910665e-04,0.9085494344925991,11.4833
9,6,-20.000000,failed,failed,failed,1.75
9,6,0.000000,610.4391193805263,2.264064e-04,0.0,245.7833
9,6,20.000000,2779.507248954905,3.046233e-04,-0.681646989028323,80.2333
9,6,40.000000,9946.82427741295,3.925557e-04,-0.8289799333373082,35.25
9,6,60.000000,29510.651426972796,4.879437e-04,-0.5624180342006753,18.7667
9,6,80.000000,75631.69482308613,5.915601e-04,1.4210854715202004e-14,13.15
9,6,100.000000,172225.59210297436,7.013071e-04,0.7956972374016544,10.0667
9,2,-20.000000,192.1713984389533,1.303962e-04,0.40240294593730397,337.9833
9,2,0.000000,1107.3805919813021,1.890086e-04,0.0,124.7667
9,2,20.000000,5460.425836769306,2.569349e-04,-1.2544845254487598,43.25
9,2,40.000000,19526.025262771484,3.307712e-04,-1.2224791196119469,19.3667
9,2,60.000000,60183.390828532705,4.205430e-04,-1.2419274966472926,11.95
9,2,80.000000,147434.76048707135,5.179848e-04,0.0,11.95
9,2,100.000000,332163.78464758914,6.250899e-04,1.081471341099956,9.0167
9,8,-20.000000,failed,failed,failed,2.1667
9,8,0.000000,513.5072959116603,1.861825e-04,0.0,273.3167
9,8,20.000000,2352.4031680283942,2.567607e-04,-0.6850495552568532,89.8333
9,8,40.000000,8497.952843160083,3.368476e-04,-0.8807144228225923,38.1
9,8,60.000000,25367.145031831962,4.215477e-04,-0.6352886844667296,20.2
9,8,80.000000,64893.010892940816,5.216153e-04,1.4210854715202004e-14,13.65
9,8,100.000000,146764.77598411654,6.304937e-04,0.9395402897541061,10.3333
5,8,-20.000000,failed,failed,failed,2.2
5,8,0.000000,388.3359416564081,1.840014e-04,0.0,330.3667
5,8,20.000000,1778.6014678797912,2.500222e-04,-0.64848858372509,107.4
5,8,40.000000,6447.453255963894,3.250786e-04,-0.8454239349014543,44.5167
5,8,60.000000,19336.024134451884,4.070078e-04,-0.6171376041664658,22.7833
5,8,80.000000,49685.31803820503,4.971977e-04,0.0,14.8167
5,8,100.000000,112861.25052297082,5.943896e-04,0.918687872215628,10.9833
5,4,-20.000000,3929.703885023152,1.546843e-04,-32.19915807570545,168.3333
5,4,0.000000,617.354450971253,2.246999e-04,0.0,182.2167
5,4,20.000000,2769.1204304320795,3.069492e-04,-0.39459078624216914,62.3
5,4,40.000000,10259.689147834324,3.986662e-04,-0.7954740523424491,27.7333
5,4,60.000000,30045.639326136403,4.973506e-04,-0.2647236366947894,15.1
5,4,80.000000,79559.5582853324,6.082760e-04,0.0,10.5
5,4,100.000000,190278.66310211306,7.276356e-04,0.23017039933270667,7.6333
9,4,-20.000000,failed,failed,failed,1.7333
9,4,0.000000,761.7840372725693,2.294597e-04,0.0,218.3
9,4,20.000000,3557.713585556252,3.100792e-04,-0.8838566811588464,53.45
9,4,40.000000,12706.478690409314,3.997587e-04,-0.9694171917760599,24.7833
9,4,60.000000,37171.04553973473,4.983037e-04,-0.49872709768014545,14.1333
9,4,80.000000,96076.4307221681,6.050742e-04,-1.4210854715202004e-14,9.7167
9,4,100.000000,229835.76166307315,7.185892e-04,0.17340794388620395,7.55
7,6,-20.000000,failed,failed,failed,2.1
7,6,0.000000,568.8566890720355,1.835804e-04,0.0,255.9
7,6,20.000000,2599.2902897792787,2.538981e-04,-0.7159795971549343,84.15
7,6,40.000000,9299.142247119125,3.349037e-04,-0.858293462718855,36.6667
7,6,60.000000,27508.46985786924,4.239696e-04,-0.5536014148527428,18.9667
7,6,80.000000,70580.1974551604,5.227170e-04,0.0,13.4833
7,6,100.000000,161258.2529958155,6.288142e-04,0.7561181373905015,9.9
5,2,-20.000000,failed,failed,failed,1.9833
5,2,0.000000,916.4206077334901,2.255256e-04,0.0,182.4833
5,2,20.000000,4068.8100886959915,3.037596e-04,-0.3708388642283893,56.8833
5,2,40.000000,14791.814091747116,3.915881e-04,-0.6359598299989244,24.55
5,2,60.000000,45371.86554138391,4.875357e-04,-0.7243355865647771,14.2667
5,2,80.000000,114890.92026248439,5.917539e-04,1.4210854715202004e-14,12.7833
5,2,100.000000,261117.12695958614,7.023123e-04,0.837161195274021,9.55
